EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,9,6,7,8,7,6,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,9,7,9,6,8,9,7,5,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,9,8,9,6,8,9,7,5,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,8,7,9,6,8,10,6,5,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,8,7,9,7,8,10,7,6,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,7,9,9,7,9,11,9,7,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,6,9,8,7,11,11,9,7,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
9,7,8,7,7,10,11,10,7,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
8,5,9,8,6,11,11,8,7,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
7,6,9,8,6,11,11,8,6,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
7,7,8,8,10,11,10,8,6,12,viivi; kollane; kass; luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; mati; unt; romaan
