EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,8,8,8,9,10,9,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,9,8,8,8,10,10,9,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,9,9,8,10,10,10,10,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,9,9,8,10,10,10,10,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
8,9,10,8,10,10,10,11,10,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,11,10,8,9,11,9,11,10,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
9,10,10,9,9,10,9,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,9,10,9,9,10,9,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,10,10,10,9,10,9,10,11,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
8,9,11,7,9,10,9,10,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
8,8,11,7,10,10,9,10,9,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
