EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,10,6,5,7,4,8,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,5,10,6,4,6,5,7,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,5,10,7,4,6,5,7,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,4,10,7,4,6,5,7,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,4,9,7,5,6,4,5,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,3,9,7,5,7,6,7,8,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,3,6,5,5,6,7,5,8,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
8,4,5,7,5,7,8,5,8,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
8,3,6,6,7,7,8,5,7,11,taanlane; lapiline; inglane; saarlane; tehnika; keel; muhu; õppus; kaitseliit; saar
7,3,7,7,5,7,9,5,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; tehnika; muhu; keel; saar
7,4,6,7,6,7,10,6,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; tehnika; muhu; keel; saar
