EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,1,1,3,3,2,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,2,1,1,3,3,2,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,3,1,2,3,4,3,2,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,2,0,2,3,4,3,2,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,2,1,2,4,5,4,2,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
2,5,4,1,2,3,6,4,2,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,4,3,2,2,5,5,3,2,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,2,2,5,2,5,5,3,2,11,mikomägi; panso; kriitika; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
2,1,3,6,2,5,4,3,2,11,mikomägi; panso; rapla; kriitika; intervjuu; teatrikool; näitleja; voldemar; teater
1,2,3,4,1,5,4,2,1,11,mikomägi; panso; kriitika; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,2,4,4,2,6,5,1,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
