EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,2,5,3,6,3,5,13,parteiraha; andrus; graafika; lumekoristustöö; poola; jüri; president; lennuõnnetus; piletisoodustus; ansip; adams; rahastamine; kontroll
5,5,4,2,6,3,6,4,5,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,5,7,2,6,4,6,4,4,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,5,7,3,6,5,8,4,4,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,5,7,3,6,9,8,4,4,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
6,5,7,5,6,8,8,4,4,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,5,7,5,7,7,7,5,4,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,5,5,7,9,8,6,8,5,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
6,5,7,8,9,10,9,6,5,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; piletisoodustus; lennuõnnetus; rahastamine
5,6,6,10,8,10,7,7,6,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; piletisoodustus; lennuõnnetus; rahastamine
5,6,7,9,8,10,8,6,5,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; piletisoodustus; lennuõnnetus; rahastamine
