EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,10,7,7,5,8,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,10,7,7,6,9,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,10,7,8,7,10,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,9,7,8,8,10,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,7,7,8,8,9,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,7,9,9,7,9,7,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
7,9,5,8,8,6,8,6,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
6,9,5,8,8,6,8,8,8,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,8,4,10,7,5,8,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
6,8,3,10,7,5,7,8,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
6,8,2,10,7,7,8,8,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
