EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,8,7,9,8,7,6,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
6,8,8,7,9,7,7,6,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
5,8,9,7,9,7,7,6,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
6,9,9,8,9,6,7,4,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
6,9,8,7,9,6,8,4,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
6,9,7,5,9,6,6,6,8,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
6,9,8,5,8,7,6,4,7,12,uusorg; takistus; margo; võistlus; eesti; soome; vesi; kaal; birgit; ulrich
7,9,7,9,8,7,6,5,7,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
7,9,6,8,7,7,6,6,7,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
7,9,5,8,8,8,6,6,7,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
7,8,6,7,8,7,6,5,6,12,uusorg; takistus; margo; võistlus; eesti; soome; vesi; kaal; birgit; ulrich
