EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
8,8,8,8,8,8,8,8,8,11,ants; nägemus; sisemus; tooming; arvamus; peegel; õppimine; muutuma
