EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,7,6,5,6,7,3,3,14,peeter; urmas; kloun; keiu; isiklik; vadi; virro; võõras; lavastaja; komme; probleem
4,5,10,6,5,9,7,3,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,10,6,6,9,9,3,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,10,6,6,9,9,3,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,9,5,6,9,8,3,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,3,7,7,6,8,9,5,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
2,3,9,6,4,9,9,5,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
2,3,8,7,4,8,8,5,3,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,6,6,5,7,7,6,2,14,peeter; urmas; kloun; keiu; isiklik; vadi; virro; võõras; lavastaja; komme; probleem
3,3,6,5,6,8,7,5,4,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; lavastaja; võõras; komme; probleem
2,4,6,5,4,8,7,7,4,14,peeter; urmas; kloun; keiu; isiklik; vadi; virro; võõras; lavastaja; komme; probleem
