EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,1,4,1,1,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,2,4,1,2,2,2,2,13,provints; balti; tartu; haridus; peeter
2,3,3,4,1,1,3,3,2,13,provints; balti; tartu; haridus; peeter
2,3,3,3,1,2,2,3,2,13,provints; balti; tartu; haridus; peeter
1,4,2,3,1,3,3,2,2,13,provints; balti; tartu; haridus; peeter
