EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,5,1,0,5,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,4,1,0,4,5,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,3,4,1,0,4,4,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
6,2,4,4,0,4,4,4,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,1,3,3,0,4,4,5,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
3,1,3,3,0,5,4,3,4,10,viirus; mõjutamine; hirm; pettur; fbi; ahnus; strateegia
