EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,2,2,4,3,3,3,12,jaanuar; lõpp; lähedane; intensiivne; aasta
1,3,3,3,2,4,3,3,3,12,jaanuar; lõpp; aasta; lähedane; intensiivne
1,3,4,4,1,4,3,3,3,12,jaanuar; lõpp; aasta; lähedane; intensiivne
