EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,3,2,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,2,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,2,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,2,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
2,3,3,3,3,3,3,3,3,12,määrus; ajutine; seisund
