EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,11,3,7,10,11,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,12,3,7,10,12,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,13,3,8,10,12,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,12,14,3,10,10,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,11,14,3,12,10,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,14,13,12,4,13,10,12,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
