EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,4,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,6,2,2,2,1,4,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
4,2,6,1,2,2,1,7,3,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
5,2,6,3,2,2,0,7,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
3,3,6,3,2,1,1,7,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
3,3,6,2,2,1,1,7,4,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
