EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,6,5,2,7,3,8,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
6,6,5,6,5,2,7,3,7,11,laine; elektron; marek; valgus; telekas; füüsika; signaal; strandberg
