EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,5,4,6,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
8,9,7,7,5,4,6,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
8,9,7,7,5,4,6,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
8,9,7,7,5,4,6,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
8,9,7,7,5,4,6,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
8,9,6,7,5,4,5,4,3,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
5,9,8,8,5,4,5,5,3,11,seljakott; aeg; plaat; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
7,9,7,10,5,4,6,7,3,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
6,10,7,8,5,5,7,6,3,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
6,9,6,9,5,6,8,9,3,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,9,9,8,5,6,6,6,3,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
