EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
5,9,5,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,9,6,3,5,5,4,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,9,7,5,5,5,5,6,5,13,iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
6,9,6,4,5,6,5,6,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,9,5,7,4,5,5,7,5,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,9,5,8,4,5,5,6,6,13,iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
