EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,5,4,0,2,3,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
3,5,5,4,0,2,3,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
3,5,5,4,0,2,3,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
3,5,5,4,0,2,3,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
3,5,5,4,0,2,3,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
3,5,7,4,0,2,3,8,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
4,5,7,4,0,2,4,8,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
5,5,7,4,0,1,4,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
5,5,7,4,0,3,5,7,5,12,lahing; britt; nato; sõda; õppus; väin; suur; kaitseliit; klubi; saar
5,6,5,4,1,3,4,6,5,12,lahing; britt; nato; sõda; õppus; suur; kaitseliit; väin; klubi; saar
5,6,7,4,2,3,4,5,5,12,lahing; britt; nato; sõda; õppus; kaitseliit; suur; väin; klubi; saar
