EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,5,3,3,3,5,5,2,12,berliin; lill; konstruktor; moekunstnik; moemaja; moenäda; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
5,3,5,3,3,3,5,5,2,12,berliin; lill; konstruktor; moekunstnik; moemaja; moenäda; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
5,3,5,3,3,3,5,5,2,12,berliin; lill; konstruktor; moekunstnik; moemaja; moenäda; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
4,3,5,3,3,3,5,5,2,12,berliin; lill; konstruktor; moekunstnik; moemaja; moenäda; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
3,4,5,3,3,3,4,4,2,12,berliin; lill; ateljee; konstruktor; moekunstnik; moemaja; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
4,4,6,3,3,4,5,5,2,12,berliin; lill; ateljee; konstruktor; moekunstnik; moemaja; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
3,3,5,5,3,5,5,6,2,12,berliin; lill; ateljee; konstruktor; moekunstnik; moemaja; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
2,2,3,2,3,4,4,5,2,12,lill; berliin; ateljee; konstruktor; moekunstnik; moemaja; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
3,1,6,4,2,3,7,5,2,12,lill; berliin; ateljee; konstruktor; moekunstnik; moemaja; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
2,2,4,4,3,5,3,5,2,12,lill; berliin; ateljee; konstruktor; moekunstnik; moemaja; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
1,1,5,4,3,4,3,5,2,12,lill; berliin; ateljee; konstruktor; moekunstnik; moemaja; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
