EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,6,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,7,9,4,7,6,11,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
9,8,6,9,4,7,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
10,8,6,9,3,8,6,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
10,9,6,9,3,7,7,10,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
