EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,4,4,3,2,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
1,4,4,4,3,2,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
1,4,4,4,3,2,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
1,4,4,4,3,2,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
1,4,4,4,3,2,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
1,4,4,4,3,3,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
0,4,5,4,3,3,2,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
0,4,5,5,3,3,3,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
0,4,7,4,3,3,3,7,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
2,4,6,5,2,3,3,7,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
2,4,6,5,1,3,3,6,2,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
