EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,4,0,4,3,2,1,18,moeetendus; disainer; performance; kollektsioon; mood; anatoomikum; kõrgem; tants
4,4,2,4,0,4,3,2,1,18,moeetendus; disainer; performance; kollektsioon; mood; anatoomikum; kõrgem; tants
4,4,2,4,0,4,3,2,1,18,moeetendus; disainer; performance; kollektsioon; mood; anatoomikum; kõrgem; tants
4,4,2,4,0,4,3,1,1,18,moeetendus; disainer; performance; kollektsioon; mood; kõrgem; tants
4,4,3,4,0,4,3,5,1,18,moeetendus; disainer; performance; kollektsioon; mood; lavastaja; kunstikool; kõrgem; tants
5,5,2,4,0,4,4,5,1,18,seenemaa; moeetendus; kollektsioon; disainer; performance; mood; lavastaja; anatoomikum; kõrgem; tants
5,5,3,3,0,4,4,4,1,18,seenemaa; moeetendus; performance; disainer; mood; lavastaja; kunstikool; anatoomikum; kõrgem; tants
5,3,4,2,2,3,2,6,1,18,seenemaa; moeetendus; disainer; performance; kollektsioon; mood; lavastaja; anatoomikum; paju; tants
5,5,3,4,3,3,2,4,0,18,moeetendus; kollektsioon; performance; disainer; mood; lavastaja; kunstikool; anatoomikum; tants
2,5,4,3,6,3,4,4,0,18,moeetendus; pelis; performance; disainer; kollektsioon; mood; lavastaja; kunstikool; anatoomikum; kõrgem; paju; tants
5,3,2,4,5,4,3,4,0,18,pelis; kollektsioon; performance; disainer; mood; lavastaja; kunstikool; anatoomikum; kõrgem; paju; tants
