EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,8,6,6,5,9,7,7,6,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
