EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,3,4,4,1,5,6,7,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,5,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,6,7,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,4,1,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,6,1,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,3,4,7,1,6,7,9,5,12,külalisesinemine; kultuuripäev; teatritrupp; ooperilavastus; ülo; tšehhoslovakkia; vilimaa; suhe; ostrava; sõprusteater
8,2,4,7,1,6,5,9,5,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
