EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,6,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,6,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,6,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,4,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,3,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,5,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,2,2,3,1,1,1,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
3,3,2,7,1,1,1,4,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,3,2,2,1,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,4,3,1,2,1,1,4,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,3,1,3,1,1,3,4,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
