EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,5,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,6,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,5,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,5,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,5,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
8,5,7,3,5,6,6,6,5,10,mõtisklus; kirik; peegel; aamen; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
