EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,8,3,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,8,3,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,8,3,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,8,3,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,7,3,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,7,4,0,8,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,6,4,0,7,8,8,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,7,5,0,7,7,7,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,5,6,5,0,9,8,5,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
2,6,6,5,0,9,8,7,5,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
3,5,6,5,2,7,7,5,4,11,reis; kodumaa; sugulane; hoolitsema; kanakasvataja; austraalia; väliseestlane; rändama; maa
