EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,9,8,9,6,6,7,9,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
