EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
1,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
0,5,6,5,1,4,3,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
0,5,6,5,1,4,4,5,3,12,teadlane; tulevik; akadeemia; saal; õpe; tulemus
