EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,4,3,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,4,3,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,4,3,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,4,4,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,4,4,3,1,4,4,4,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
4,3,3,3,1,5,4,5,2,16,inflatsioon; euroopa; tartu; komisjon; euro; elering
4,4,3,2,2,5,3,5,2,16,elering; inflatsioon; tartu; komisjon; euro; euroopa
2,3,3,2,2,4,4,5,2,16,inflatsioon; euroopa; tartu; komisjon; euro; elering
1,3,4,2,2,5,6,4,2,16,inflatsioon; euroopa; tartu; komisjon; euro; elering
3,4,2,1,4,4,4,4,2,16,aus; elering; tartu; komisjon; euro; euroopa
