EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
6,8,5,4,4,3,5,8,5,12,mendelejev; klaas; braseodüüm; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
