EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
4,4,3,3,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
3,4,3,4,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
3,4,3,4,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
3,4,2,4,3,6,5,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
2,4,3,4,3,6,6,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
2,4,3,4,3,6,6,6,3,10,hämarik; lill; faehlmann; taevas; ööbik; koit
