EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
5,5,4,6,2,4,5,4,5,10,kirik; kogudus; ameerika; ori; tempel; laulma; jumalateenistus
