EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,6,2,3,6,5,2,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
4,5,2,6,2,3,6,5,2,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
4,5,2,6,2,3,6,5,2,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
4,5,2,6,2,3,6,5,2,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
4,4,3,6,2,3,6,5,2,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
6,4,5,6,2,4,5,6,2,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
6,5,6,6,2,4,6,6,2,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,7,6,2,5,6,7,2,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
6,5,4,5,1,7,6,5,2,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
3,4,5,3,1,7,6,5,1,11,sport; naisoboemängija; saksamaa; repertuaar; klassikatäht; inglissarv; muusikakeskkool; ingeli; oboe; orkester
3,6,5,5,1,8,6,5,1,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
