EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,3,1,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,3,4,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,3,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,3,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,3,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,4,3,1,4,4,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
5,6,4,3,1,3,4,4,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,6,3,4,0,3,3,4,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
4,5,3,4,0,3,4,4,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
3,3,4,4,2,3,4,5,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet; seminar
