EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,5,6,3,3,5,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
6,5,6,5,6,3,3,5,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
6,5,6,5,6,3,3,5,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
6,5,6,5,6,3,3,5,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
6,5,6,5,6,3,3,6,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
5,5,6,5,6,3,3,6,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
5,6,5,5,6,2,4,7,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
4,5,6,3,6,2,5,8,2,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
5,7,7,6,5,2,5,7,3,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
6,8,6,6,6,2,2,7,3,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
5,7,2,5,7,2,4,8,3,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
