EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
3,4,4,4,3,3,3,4,4,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
