Model,Average Score
LaBSE,0.15965348941407906
MiniLM-L12_multi,0.12536455065749558
MiniLM_multi,0.11835075108599828
est-roberta,0.08950891315800079
EstBERT,0.0870804578292382
multi_e5,0.07448746037626328
bertMulti,0.044874963967573504
distilbertMulti,0.04372697259271985
xml_roberta,0.0
