EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,3,2,4,6,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
5,3,5,3,2,4,6,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
5,3,5,3,2,5,6,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
6,3,4,4,2,5,6,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
6,4,6,4,1,5,6,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
5,2,6,3,3,4,5,3,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
5,2,4,4,2,6,6,4,0,11,medell; perekond; muusika; õpetaja; kuressaare; esinema; laulma; sirje
5,6,4,6,2,5,5,4,0,11,medell; sirje; perekond; muusika; õpetaja; kuressaare; esinema; laulma
6,6,3,6,2,5,5,4,0,11,medell; sirje; perekond; muusika; esinema; kuressaare; õpetaja; laulma
2,2,5,6,2,3,4,3,0,11,medell; sirje; perekond; muusika; õpetaja; kuressaare; esinema; laulma
2,3,4,6,3,3,5,4,0,11,medell; sirje; perekond; muusika; esinema; kuressaare; õpetaja; laulma
