EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,10,11,4,9,8,8,0,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,10,11,5,9,7,8,0,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,9,11,5,9,7,8,0,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,11,10,11,4,8,7,8,0,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,10,10,11,4,7,8,8,0,16,komisjon; üleeuroopaline; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,9,10,10,4,9,9,8,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,9,10,10,5,8,9,8,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,7,11,7,6,8,10,8,0,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,9,10,8,8,8,8,9,0,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,9,11,8,9,10,10,11,0,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
8,9,11,8,9,8,10,10,0,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
