EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,6,4,5,5,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,3,6,4,5,5,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,7,4,7,4,5,6,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,6,7,4,5,6,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,5,5,7,5,5,6,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
6,5,7,8,5,5,6,6,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,7,4,7,4,5,5,7,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
3,6,5,7,5,4,4,7,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
3,6,5,5,5,4,6,7,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,4,5,5,5,5,7,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
4,6,7,5,5,5,4,7,0,14,välisministrite; koostöö; konverents; sõda; rahulolematus; valitsus; partei; kommunistlik; pätsi
