EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,9,11,4,9,12,7,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,11,10,11,4,9,12,7,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,11,8,11,4,9,13,7,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,10,6,11,4,9,13,8,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,12,7,12,4,8,14,9,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,12,8,11,4,8,14,8,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
6,9,7,12,6,8,14,8,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; kunstnik; liit; kunstimuuseum; kriitik; kuraator; härm; publik; võim; anders
7,9,10,10,8,6,13,8,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,10,9,10,9,8,10,9,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,9,7,10,10,8,12,10,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,9,8,10,12,7,11,9,0,15,institutsioon; maria-kristiina; sümboolne; kunstimaailm; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
