EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,7,4,3,6,5,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,5,6,7,4,3,7,6,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,5,7,7,4,4,7,6,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,5,6,7,4,5,7,6,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,5,6,6,4,6,7,6,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,5,6,7,5,7,7,6,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,4,5,8,5,6,7,5,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
7,5,6,6,4,6,6,5,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,5,7,4,4,5,7,5,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,5,6,5,5,5,7,4,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,6,7,5,7,5,6,4,0,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
