EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,6,8,6,4,5,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
12,10,6,8,6,4,5,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
12,10,6,8,6,4,9,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,11,10,8,7,4,9,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
11,10,10,8,8,4,9,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,9,11,8,8,6,10,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,11,11,12,8,11,11,8,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
10,10,12,10,11,9,12,8,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
8,10,12,9,11,10,11,8,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
6,9,10,10,11,11,11,9,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
7,9,11,10,11,9,11,8,0,15,b; one; rakset; vanilli; ameerika; euroopa; pik; edetabel; power; singel; milli; eric
