EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,3,6,4,4,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,5,5,3,6,5,4,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
6,5,5,3,6,5,5,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
6,5,5,3,6,5,5,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
6,5,5,4,6,6,6,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,5,6,5,6,5,6,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,5,6,5,6,5,6,4,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,5,6,5,6,5,4,4,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
6,5,5,4,6,5,3,4,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,5,4,6,4,5,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,6,4,5,4,5,6,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
