EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,5,5,4,4,5,4,5,11,ema; katariina; ronima; redel; kooli; poiss
6,3,5,5,5,4,5,4,5,11,ema; katariina; ronima; redel; kooli; poiss
5,3,5,4,5,4,5,4,5,11,ema; katariina; ronima; redel; kooli; poiss
5,3,4,4,5,5,5,5,5,11,ema; katariina; ronima; redel; kooli; poiss
5,3,5,5,5,5,5,3,5,11,ema; katariina; ronima; redel; kooli; poiss
4,3,5,6,5,5,5,4,5,11,ema; katariina; ronima; redel; kooli; poiss
4,5,4,5,5,6,5,4,5,11,ema; katariina; ronima; redel; kooli; poiss
5,6,5,6,6,6,4,5,5,11,ema; katariina; ronima; redel; kooli; poiss
6,6,4,5,5,6,5,5,5,11,ema; katariina; ronima; redel; kooli; poiss
6,6,4,5,5,6,5,5,5,11,ema; katariina; ronima; redel; kooli; poiss
6,6,5,5,5,6,4,5,4,11,ema; katariina; ronima; redel; kooli; poiss
