EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,7,5,7,7,8,7,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
6,5,7,6,5,7,7,8,7,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
6,5,7,6,5,7,7,8,7,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
6,6,8,6,5,7,8,9,7,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
8,7,8,6,6,7,8,9,7,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
8,6,8,7,7,8,9,8,6,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
9,6,7,6,7,8,9,8,6,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
5,7,8,6,7,9,9,7,6,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
7,7,8,5,7,8,8,8,6,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
4,7,9,7,6,6,4,6,7,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
4,7,9,7,8,8,7,7,8,11,raamat; kirjanik; võõras; furby; sotsiaalmeedia; olme; lavastus; urmas; vadi
