EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,4,2,4,3,3,4,0,11,kanakasvataja; austraalia; reis; mulje
4,2,4,2,4,3,3,4,0,11,kanakasvataja; austraalia; reis; mulje
4,2,4,2,4,3,3,4,0,11,kanakasvataja; austraalia; reis; mulje
4,2,4,2,4,4,3,4,0,11,kanakasvataja; austraalia; reis; mulje
4,2,4,3,4,4,4,4,0,11,kanakasvataja; austraalia; reis; mulje
3,2,4,3,4,3,4,4,0,11,kanakasvataja; austraalia; mulje; reis
3,2,4,3,4,4,4,4,0,11,kanakasvataja; austraalia; mulje; reis
4,2,4,4,4,4,4,4,0,11,kanakasvataja; austraalia; reis; mulje
4,2,4,3,4,4,4,4,0,11,kanakasvataja; austraalia; reis; mulje
4,3,4,3,4,4,4,4,0,11,kanakasvataja; austraalia; reis; mulje
4,4,3,3,3,4,4,4,0,11,mulje; reis; kanakasvataja; austraalia
