EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,1,7,5,3,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,5,2,7,5,4,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,5,3,7,5,6,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,5,5,7,5,6,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,5,6,6,5,5,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,5,5,6,5,6,7,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,6,7,5,5,7,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,7,6,6,6,6,7,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,7,6,5,6,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,7,6,5,6,7,7,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,6,7,6,5,6,7,7,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
