EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,2,2,4,3,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
3,3,2,2,2,4,3,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
3,3,2,2,2,4,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
3,3,2,2,2,4,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
3,3,2,2,2,4,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
2,3,3,1,2,4,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
2,3,4,2,2,5,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
2,3,2,3,1,3,2,1,0,12,indoeuroopa; keel; rahvakeel; sõna; regivärss
2,1,3,3,1,2,2,1,0,12,indoeuroopa; keel; rahvakeel; sõna; regivärss
2,3,3,4,1,3,2,1,0,12,indoeuroopa; rahvakeel; regivärss; keel; sõna
2,2,2,4,1,1,1,1,0,12,indoeuroopa; keel; rahvakeel; sõna; regivärss
