EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,5,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,5,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,5,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,8,8,8,8,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
