EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,11,9,10,5,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,9,10,6,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,9,10,8,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,9,10,9,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,9,10,11,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,11,12,11,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,10,12,11,12,11,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
11,12,12,11,12,12,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,11,12,12,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,11,12,12,12,11,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
12,12,12,11,12,12,12,12,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
