EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,3,2,2,2,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
4,3,2,3,2,2,2,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
4,3,2,3,2,2,3,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
4,3,4,3,2,2,3,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,4,3,2,2,3,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
4,3,4,3,2,3,3,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
1,4,5,3,1,4,4,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
1,2,5,4,2,2,5,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
1,4,5,4,2,3,4,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
1,5,5,4,2,2,3,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
2,4,4,4,2,2,5,3,0,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
