EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,8,5,4,7,7,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,6,8,5,4,7,7,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,7,8,5,4,7,6,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,7,8,5,4,7,6,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,8,8,5,6,8,6,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,8,8,5,8,8,6,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,8,8,8,8,8,7,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,8,8,8,8,8,8,8,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,7,8,8,8,8,8,8,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,7,8,8,8,8,8,8,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
8,7,8,8,8,8,8,8,0,13,soots; koolitus; taul; turismitalu; kodukohvik; ants; marika; riidaja
