EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,5,5,6,6,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
5,5,6,5,5,6,6,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
5,5,7,5,4,6,6,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
5,5,7,5,4,6,6,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
6,4,5,5,4,6,6,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
6,4,6,6,4,7,6,3,0,12,sonaat; vene; screabin; looming; saatus; protest; helilooja; noorusarmastus
7,6,5,5,5,5,4,3,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
6,8,6,5,5,6,4,4,0,12,sonaat; vene; screabin; looming; saatus; noorusarmastus; protest; helilooja
4,6,6,5,7,6,4,4,0,12,sonaat; vene; screabin; looming; saatus; helilooja; noorusarmastus; protest
5,7,6,5,7,4,5,5,0,12,sonaat; vene; screabin; looming; saatus; helilooja; noorusarmastus; protest
6,7,6,5,6,4,5,5,0,12,sonaat; vene; screabin; looming; saatus; helilooja; noorusarmastus; protest
