EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,4,6,6,8,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,6,4,6,6,8,5,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,6,3,5,6,7,5,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,7,5,4,6,6,7,5,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,6,7,4,6,7,7,5,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
7,6,6,4,5,7,7,6,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
6,8,7,7,6,7,7,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
2,7,6,5,5,6,7,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
3,5,6,5,5,8,8,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
1,6,5,4,7,7,8,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
2,6,3,5,4,6,7,7,0,14,torn; tehaari; rothschild; haari; stiil; paruness; loss; uusgooti; muuseum
