EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,5,5,7,7,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
6,7,8,6,5,7,7,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
6,7,8,6,5,7,9,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
6,8,8,6,5,7,9,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
5,8,8,5,6,8,9,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
6,6,8,5,6,6,9,6,0,11,mozart; gerretz; solist; jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert
4,7,7,7,6,5,7,6,0,11,mozart; gerretz; solist; jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert
6,5,5,6,7,5,7,6,0,11,mozart; gerretz; jüri; dirigent; solist; kammerorkester; pedagoog; interpreet; kontsert
5,4,5,5,7,6,5,8,0,11,mozart; gerretz; solist; dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert
3,4,4,5,7,6,6,8,0,11,mozart; gerretz; dirigent; jüri; solist; kammerorkester; pedagoog; interpreet; kontsert
3,1,5,5,6,5,5,7,0,11,mozart; gerretz; dirigent; jüri; solist; kammerorkester; pedagoog; interpreet; kontsert
