EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,3,5,5,4,4,4,3,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
8,6,4,5,5,4,4,5,3,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
8,6,3,5,5,4,4,5,3,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
8,6,4,5,5,4,4,5,3,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
8,6,3,5,4,4,4,5,2,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
8,7,6,5,5,5,6,5,2,12,kõnekeel; isereguleeruv; eesti; indoeuroopa; keel; hägusus; süsteem; alaväärsustunne
3,6,6,5,5,5,6,4,2,12,süsteem; kõnekeel; isereguleeruv; eesti; indoeuroopa; hägusus; keel; alaväärsustunne
3,7,8,5,5,6,4,6,2,12,süsteem; kõnekeel; isereguleeruv; eesti; indoeuroopa; hägusus; keel; alaväärsustunne
3,4,7,6,5,5,6,7,2,12,süsteem; kõnekeel; isereguleeruv; eesti; indoeuroopa; hägusus; keel; alaväärsustunne
2,4,7,3,5,5,4,7,3,12,süsteem; kõnekeel; isereguleeruv; eesti; indoeuroopa; hägusus; keel; alaväärsustunne
3,4,8,3,3,4,7,7,3,12,süsteem; kõnekeel; isereguleeruv; eesti; indoeuroopa; hägusus; keel; alaväärsustunne
