EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,10,4,7,6,8,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
8,9,7,10,5,7,7,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
8,9,7,10,5,8,8,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
8,9,8,10,5,8,9,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
8,8,9,10,6,8,9,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
8,8,7,10,6,9,9,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
5,8,10,7,5,8,9,7,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
6,9,9,6,7,5,8,6,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
3,8,10,5,5,5,7,6,0,18,hindpere; eesti; hans; isis; ülikool; usuäärmusluse; nädal; jarmuki; karissa; restoranide; kontsert
5,9,9,6,5,4,8,8,0,18,hans; isis; ülikool; usuäärmusluse; kontsert; hindpere; eesti; nädal; jarmuki; karissa; restoranide
6,8,8,6,5,6,5,8,0,18,hindpere; eesti; hans; isis; usuäärmusluse; ülikool; nädal; jarmuki; karissa; restoranide; kontsert
