EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,6,7,5,8,8,5,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
7,9,6,7,5,8,8,5,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
7,8,6,7,4,8,9,5,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
7,8,6,7,4,8,9,5,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
5,8,5,8,5,9,9,5,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
4,10,6,10,6,10,9,6,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
9,6,7,7,7,9,9,6,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
5,6,9,7,8,6,5,6,0,13,rootsi; juhansoni; soome; reisid; ilmar; talve; etnoloog; ekspeditsioon; maapagu; rahva
4,5,9,6,7,6,6,6,0,13,rootsi; juhansoni; soome; reisid; ilmar; talve; etnoloog; ekspeditsioon; maapagu; rahva
4,5,9,6,8,6,8,7,0,13,rootsi; juhansoni; soome; reisid; ilmar; talve; etnoloog; ekspeditsioon; maapagu; rahva
6,5,9,6,7,7,9,7,0,13,rootsi; juhansoni; soome; ilmar; talve; ekspeditsioon; reisid; etnoloog; maapagu; rahva
