EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,5,3,5,4,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,5,5,5,3,5,4,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,5,6,5,3,5,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
5,4,6,6,3,5,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
5,5,6,5,3,5,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
3,5,6,5,2,4,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,4,5,5,1,5,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,5,6,3,3,3,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,5,5,2,2,2,5,5,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,4,4,2,4,3,5,3,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
4,3,6,2,4,3,5,4,0,11,viktoriin; varietee; raadio; haapsalu; muusikasaadete; estraadiorkester
