EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,3,1,1,3,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
3,4,4,3,1,1,4,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
3,4,4,3,1,2,4,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
5,3,4,3,1,3,4,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
5,3,3,3,1,2,4,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
5,4,4,3,2,3,4,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
3,3,4,3,3,3,3,3,0,11,perekond; kuuskemaa; näitleja; teater; estonia
2,2,3,3,3,4,4,3,0,11,perekond; näitleja; kuuskemaa; teater; estonia
3,2,3,3,3,4,4,3,0,11,perekond; näitleja; kuuskemaa; teater; estonia
2,2,3,3,3,3,3,4,0,11,perekond; näitleja; kuuskemaa; teater; estonia
1,2,3,3,3,3,4,3,0,11,perekond; näitleja; kuuskemaa; teater; estonia
