EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,3,7,8,3,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
7,7,6,7,3,7,8,3,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,7,6,7,3,7,9,3,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,7,9,8,4,7,8,4,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,7,8,8,5,8,9,5,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
6,8,7,8,4,7,9,7,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,5,9,8,5,9,8,7,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
6,5,9,9,5,10,7,7,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,5,9,6,6,9,10,6,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
6,5,8,7,6,9,9,6,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
8,6,11,7,7,8,7,8,0,14,akvarell; sotsia; elken; kunst; maal; biotehnoloogia; näitus; infotankistid; salajased; aiad; jaan; ränder
